nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 10000000000.0
stiffness 1.3
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
loaded from:  /home/achard/isaacgym/python/isaacGymEnvs/isaacgymenvs/minimal-isaacgym/fly_bProject/save7_1_23/save1_standing_18dofs_.pth
Steps: 6600 | Opt Step: 0225 | Reward 0.3624 | Action Var 0.1340
Steps: 6700 | Opt Step: 0225 | Reward 0.8217 | Action Var 0.1330
Steps: 6800 | Opt Step: 0225 | Reward 0.2654 | Action Var 0.1320
Steps: 6900 | Opt Step: 0225 | Reward 0.2788 | Action Var 0.1310
Steps: 7000 | Opt Step: 0225 | Reward 0.5281 | Action Var 0.1300
Steps: 7100 | Opt Step: 0225 | Reward 0.4143 | Action Var 0.1290
Steps: 7200 | Opt Step: 0225 | Reward 0.4490 | Action Var 0.1280
Steps: 7300 | Opt Step: 0225 | Reward 0.6912 | Action Var 0.1270
Steps: 7400 | Opt Step: 0225 | Reward 0.3734 | Action Var 0.1260
Steps: 7500 | Opt Step: 0225 | Reward 0.3969 | Action Var 0.1250
Steps: 7600 | Opt Step: 0225 | Reward 0.4583 | Action Var 0.1240
Steps: 7700 | Opt Step: 0225 | Reward 0.4322 | Action Var 0.1230
Steps: 7800 | Opt Step: 0225 | Reward 0.6233 | Action Var 0.1220
Steps: 7900 | Opt Step: 0225 | Reward 0.2521 | Action Var 0.1210
Steps: 8000 | Opt Step: 0225 | Reward 0.4312 | Action Var 0.1200
Steps: 8100 | Opt Step: 0225 | Reward 0.4298 | Action Var 0.1190
Steps: 8200 | Opt Step: 0225 | Reward 0.5047 | Action Var 0.1180
Steps: 8300 | Opt Step: 0225 | Reward 0.2997 | Action Var 0.1170
Steps: 8400 | Opt Step: 0225 | Reward 0.6149 | Action Var 0.1160
Steps: 8500 | Opt Step: 0225 | Reward 0.5142 | Action Var 0.1150
Steps: 8600 | Opt Step: 0225 | Reward 0.4704 | Action Var 0.1140
Steps: 8700 | Opt Step: 0225 | Reward 0.4479 | Action Var 0.1130
Training
Steps: 8800 | Opt Step: 0300 | Reward 0.4952 | Action Var 0.1120
Steps: 8900 | Opt Step: 0300 | Reward 0.7229 | Action Var 0.1110
Steps: 9000 | Opt Step: 0300 | Reward 0.3855 | Action Var 0.1100
Steps: 9100 | Opt Step: 0300 | Reward 0.5791 | Action Var 0.1090
Steps: 9200 | Opt Step: 0300 | Reward 0.4910 | Action Var 0.1080
Steps: 9300 | Opt Step: 0300 | Reward 0.5011 | Action Var 0.1070
Steps: 9400 | Opt Step: 0300 | Reward 0.3956 | Action Var 0.1060
Steps: 9500 | Opt Step: 0300 | Reward 0.4472 | Action Var 0.1050
Steps: 9600 | Opt Step: 0300 | Reward 0.4025 | Action Var 0.1040
Steps: 9700 | Opt Step: 0300 | Reward 0.4014 | Action Var 0.1030
Steps: 9800 | Opt Step: 0300 | Reward 0.6750 | Action Var 0.1020
Steps: 9900 | Opt Step: 0300 | Reward 0.4057 | Action Var 0.1010
Steps: 10000 | Opt Step: 0300 | Reward 0.5948 | Action Var 0.1000
Steps: 10100 | Opt Step: 0300 | Reward 0.4478 | Action Var 0.0990
Steps: 10200 | Opt Step: 0300 | Reward 0.4838 | Action Var 0.0980
Steps: 10300 | Opt Step: 0300 | Reward 0.5475 | Action Var 0.0970
Steps: 10400 | Opt Step: 0300 | Reward 0.2383 | Action Var 0.0960
Steps: 10500 | Opt Step: 0300 | Reward 0.7663 | Action Var 0.0950
Steps: 10600 | Opt Step: 0300 | Reward 0.5989 | Action Var 0.0940
Steps: 10700 | Opt Step: 0300 | Reward 0.4526 | Action Var 0.0930
Steps: 10800 | Opt Step: 0300 | Reward 0.5976 | Action Var 0.0920
Training
Steps: 10900 | Opt Step: 0375 | Reward 0.2968 | Action Var 0.0910
Steps: 11000 | Opt Step: 0375 | Reward 0.6396 | Action Var 0.0900
Steps: 11100 | Opt Step: 0375 | Reward 0.5001 | Action Var 0.0890
Steps: 11200 | Opt Step: 0375 | Reward 0.4914 | Action Var 0.0880
Steps: 11300 | Opt Step: 0375 | Reward 0.5604 | Action Var 0.0870
Steps: 11400 | Opt Step: 0375 | Reward 0.4670 | Action Var 0.0860
Steps: 11500 | Opt Step: 0375 | Reward 0.6286 | Action Var 0.0850
Steps: 11600 | Opt Step: 0375 | Reward 0.4635 | Action Var 0.0840
Steps: 11700 | Opt Step: 0375 | Reward 0.4485 | Action Var 0.0830
Steps: 11800 | Opt Step: 0375 | Reward 0.5183 | Action Var 0.0820
Steps: 11900 | Opt Step: 0375 | Reward 0.4540 | Action Var 0.0810
Steps: 12000 | Opt Step: 0375 | Reward 0.5253 | Action Var 0.0800
Steps: 12100 | Opt Step: 0375 | Reward 0.4843 | Action Var 0.0790
Steps: 12200 | Opt Step: 0375 | Reward 0.6266 | Action Var 0.0780
Steps: 12300 | Opt Step: 0375 | Reward 0.4463 | Action Var 0.0770
Steps: 12400 | Opt Step: 0375 | Reward 0.5259 | Action Var 0.0760
Steps: 12500 | Opt Step: 0375 | Reward 0.5173 | Action Var 0.0750
Steps: 12600 | Opt Step: 0375 | Reward 0.5432 | Action Var 0.0740
Steps: 12700 | Opt Step: 0375 | Reward 0.5092 | Action Var 0.0730
Steps: 12800 | Opt Step: 0375 | Reward 0.4884 | Action Var 0.0720
Steps: 12900 | Opt Step: 0375 | Reward 0.6355 | Action Var 0.0710
Steps: 13000 | Opt Step: 0375 | Reward 0.4231 | Action Var 0.0700
Training
Steps: 13100 | Opt Step: 0450 | Reward 0.4912 | Action Var 0.0690
Steps: 13200 | Opt Step: 0450 | Reward 0.5071 | Action Var 0.0680
Steps: 13300 | Opt Step: 0450 | Reward 0.5632 | Action Var 0.0670
Steps: 13400 | Opt Step: 0450 | Reward 0.5115 | Action Var 0.0660
Steps: 13500 | Opt Step: 0450 | Reward 0.5558 | Action Var 0.0650
Steps: 13600 | Opt Step: 0450 | Reward 0.5797 | Action Var 0.0640
Steps: 13700 | Opt Step: 0450 | Reward 0.4945 | Action Var 0.0630
Steps: 13800 | Opt Step: 0450 | Reward 0.4497 | Action Var 0.0620
Steps: 13900 | Opt Step: 0450 | Reward 0.7095 | Action Var 0.0610
Steps: 14000 | Opt Step: 0450 | Reward 0.4842 | Action Var 0.0600
Steps: 14100 | Opt Step: 0450 | Reward 0.5218 | Action Var 0.0590
Steps: 14200 | Opt Step: 0450 | Reward 0.4499 | Action Var 0.0580
Steps: 14300 | Opt Step: 0450 | Reward 0.5553 | Action Var 0.0570
Steps: 14400 | Opt Step: 0450 | Reward 0.4154 | Action Var 0.0560
Steps: 14500 | Opt Step: 0450 | Reward 0.5429 | Action Var 0.0550
Steps: 14600 | Opt Step: 0450 | Reward 0.5004 | Action Var 0.0540
Steps: 14700 | Opt Step: 0450 | Reward 0.5274 | Action Var 0.0530
Steps: 14800 | Opt Step: 0450 | Reward 0.6439 | Action Var 0.0520
Steps: 14900 | Opt Step: 0450 | Reward 0.5058 | Action Var 0.0510
Steps: 15000 | Opt Step: 0450 | Reward 0.5339 | Action Var 0.0500
Steps: 15100 | Opt Step: 0450 | Reward 0.5198 | Action Var 0.0490
Steps: 15200 | Opt Step: 0450 | Reward 0.5474 | Action Var 0.0480
Training
Steps: 15300 | Opt Step: 0525 | Reward 0.5048 | Action Var 0.0470
Steps: 15400 | Opt Step: 0525 | Reward 0.4145 | Action Var 0.0460
Steps: 15500 | Opt Step: 0525 | Reward 0.5109 | Action Var 0.0450
Steps: 15600 | Opt Step: 0525 | Reward 0.5105 | Action Var 0.0440
Steps: 15700 | Opt Step: 0525 | Reward 0.4718 | Action Var 0.0430
Steps: 15800 | Opt Step: 0525 | Reward 0.5920 | Action Var 0.0420
Steps: 15900 | Opt Step: 0525 | Reward 0.5603 | Action Var 0.0410
Steps: 16000 | Opt Step: 0525 | Reward 0.4482 | Action Var 0.0400
Steps: 16100 | Opt Step: 0525 | Reward 0.4530 | Action Var 0.0390
Steps: 16200 | Opt Step: 0525 | Reward 0.4963 | Action Var 0.0380
Steps: 16300 | Opt Step: 0525 | Reward 0.5659 | Action Var 0.0370
Steps: 16400 | Opt Step: 0525 | Reward 0.4642 | Action Var 0.0360
Steps: 16500 | Opt Step: 0525 | Reward 0.5401 | Action Var 0.0350
Steps: 16600 | Opt Step: 0525 | Reward 0.4992 | Action Var 0.0340
Steps: 16700 | Opt Step: 0525 | Reward 0.4255 | Action Var 0.0330
Steps: 16800 | Opt Step: 0525 | Reward 0.5536 | Action Var 0.0320
